French Verb	English Meaning	Example Usage	Present (je)	Past (je)	Future (je)
Être	To be	Je suis à Paris (I am in Paris)	Je suis	J'ai été	Je serai
Avoir	To have	J'ai faim (I am hungry)	J'ai	J'ai eu	J'aurai
Aller	To go	Je vais au café (I'm going to the café)	Je vais	Je suis allé(e)	J'irai
Parler	To speak	Je parle français (I speak French)	Je parle	J'ai parlé	Je parlerai
Manger	To eat	Je mange au restaurant (I'm eating at the restaurant)	Je mange	J'ai mangé	Je mangerai
Boire	To drink	Je bois du café (I'm drinking coffee)	Je bois	J'ai bu	Je boirai
Dormir	To sleep	Je dors à l'hôtel (I sleep at the hotel)	Je dors	J'ai dormi	Je dormirai
Vouloir	To want	Je veux un café (I want a coffee)	Je veux	J'ai voulu	Je voudrai
Pouvoir	To be able to	Je peux vous aider (I can help you)	Je peux	J'ai pu	Je pourrai
Chercher	To look for	Je cherche la gare (I'm looking for the station)	Je cherche	J'ai cherché	Je chercherai
Prendre	To take	Je prends le métro (I'm taking the metro)	Je prends	J'ai pris	Je prendrai
Comprendre	To understand	Je comprends bien (I understand well)	Je comprends	J'ai compris	Je comprendrai
Demander	To ask	Je demande l'addition (I'm asking for the bill)	Je demande	J'ai demandé	Je demanderai
Aimer	To like/love	J'aime Paris (I love Paris)	J'aime	J'ai aimé	J'aimerai
Réserver	To reserve	Je réserve une table (I'm reserving a table)	Je réserve	J'ai réservé	Je réserverai
Payer	To pay	Je paie l'addition (I'm paying the bill)	Je paie	J'ai payé	Je paierai
Visiter	To visit	Je visite le musée (I'm visiting the museum)	Je visite	J'ai visité	Je visiterai
Acheter	To buy	J'achète un billet (I'm buying a ticket)	J'achète	J'ai acheté	J'achèterai
Regarder	To look at/watch	Je regarde la carte (I'm looking at the map)	Je regarde	J'ai regardé	Je regarderai
Attendre	To wait	J'attends mon ami (I'm waiting for my friend)	J'attends	J'ai attendu	J'attendrai